city,state
Achalpur,Maharashtra
Achhnera,Uttar Pradesh
Adalaj,Gujarat
Adilabad,Telangana
Adityapur,Jharkhand
Adoni,Andhra Pradesh
Adoor,Kerala
Adyar,Karnataka
Adra,West Bengal
Afzalpur,Karnataka
Agartala,Tripura
Agra,Uttar Pradesh
Ahmedabad,Gujarat
Ahmednagar,Maharashtra
Aizawl,Mizoram
Ajmer,Rajasthan
Akola,Maharashtra
Akot,Maharashtra
Alappuzha,Kerala
Aligarh,Uttar Pradesh
Alipurduar,West Bengal
Alirajpur,Madhya Pradesh
Allahabad,Uttar Pradesh
Alwar,Rajasthan
Amalapuram,Andhra Pradesh
Amalner,Maharashtra
Ambejogai,Maharashtra
Ambikapur,Chhattisgarh
Amravati,Maharashtra
Amreli,Gujarat
Amritsar,Punjab
Amroha,Uttar Pradesh
Anakapalle,Andhra Pradesh
Anand,Gujarat
Anantapur,Andhra Pradesh
Anantnag,Jammu and Kashmir
Anjar,Gujarat
Anjangaon,Maharashtra
Ankleshwar,Gujarat
Arakkonam,Tamil Nadu
Araria,Bihar
Arambagh,West Bengal
Arsikere,Karnataka
Arrah,Bihar
Aruppukkottai,Tamil Nadu
Arvi,Maharashtra
Arwal,Bihar
Asansol,West Bengal
Asarganj,Bihar
Ashok Nagar,Madhya Pradesh
Athni,Karnataka
Attingal,Kerala
Aurangabad,Maharashtra
Aurangabad,Bihar
Azamgarh,Uttar Pradesh
Bikaner,Rajasthan
Bhiwandi,Maharashtra
Bagaha,Bihar
Bageshwar,Uttarakhand
Bahadurgarh,Haryana
Baharampur,West Bengal
Bahraich,Uttar Pradesh
Balaghat,Madhya Pradesh
Balangir,Odisha
Baleshwar Town,Odisha
Bengaluru,Karnataka
Bankura,West Bengal
Bapatla,Andhra Pradesh
Baramula,Jammu and Kashmir
Barbil,Odisha
Bargarh,Odisha
Barh,Bihar
Baripada Town,Odisha
Barnala,Punjab
Barpeta,Assam
Batala,Punjab
Bathinda,Punjab
Begusarai,Bihar
Belagavi,Karnataka
Bellampalle,Telangana
Ballari,Karnataka
Belonia,Tripura
Bettiah,Bihar
Bhabua,Bihar
Bhadrachalam,Telangana
Bhadrak,Odisha
Bhagalpur,Bihar
Bhainsa,Telangana
Bharuch,Gujarat
Bhatapara,Chhattisgarh
Bhavnagar,Gujarat
Bhawanipatna,Odisha
Bheemunipatnam,Andhra Pradesh
Bhilai Nagar,Chhattisgarh
Bhilwara,Rajasthan
Bhimavaram,Andhra Pradesh
Bhiwani,Haryana
Bhongir,Telangana
Bhopal,Madhya Pradesh
Bhubaneswar,Odisha
Bhuj,Gujarat
Bilaspur,Chhattisgarh
Bobbili,Andhra Pradesh
Bodhan,Telangana
Bokaro Steel City,Jharkhand
Bongaigaon City,Assam
Brahmapur,Odisha
Buxar,Bihar
Byasanagar,Odisha
Chandausi,Uttar Pradesh
Chaibasa,Jharkhand
Chandigarh,Chandigarh
Charkhi Dadri,Haryana
Chatra,Jharkhand
Chalakudy,Kerala
Changanassery,Kerala
Chennai,Tamil Nadu
Cherthala,Kerala
Chikkamagaluru,Karnataka
Chhapra,Gujarat
Chilakaluripet,Andhra Pradesh
Chirala,Andhra Pradesh
Chirkunda,Jharkhand
Chirmiri,Chhattisgarh
Chittur-Thathamangalam,Kerala
Chittoor,Andhra Pradesh
Coimbatore,Tamil Nadu
Cuttack,Odisha
Dalli-Rajhara,Chhattisgarh
Medininagar (Daltonganj),Jharkhand
Darbhanga,Bihar
Darjiling,West Bengal
Davanagere,Karnataka
Deesa,Gujarat
Dehradun,Uttarakhand
Dehri-on-Sone,Bihar
Delhi,Delhi
Deoghar,Jharkhand
Dhamtari,Chhattisgarh
Dhanbad,Jharkhand
Dharmanagar,Tripura
Dharmavaram,Andhra Pradesh
Dhenkanal,Odisha
Dhoraji,Gujarat
Dhubri,Assam
Dhule,Maharashtra
Dhuri,Punjab
Dibrugarh,Assam
Dimapur,Nagaland
Diphu,Assam
Kalyan-Dombivali,Maharashtra
Dumka,Jharkhand
Dumraon,Bihar
Durg,Chhattisgarh
Eluru,Andhra Pradesh
Erode,Tamil Nadu
English Bazar,West Bengal
Etawah,Uttar Pradesh
Faridabad,Haryana
Faridkot,Punjab
Firozabad,Uttar Pradesh
Farooqnagar,Telangana
Fatehabad,Haryana
Fazilka,Punjab
Forbesganj,Bihar
Firozpur,Punjab
Firozpur Cantt.,Punjab
Fatehpur Sikri,Uttar Pradesh
Gadwal,Telangana
Ganjbasoda,Madhya Pradesh
Gaya,Bihar
Giridih,Jharkhand
Goalpara,Assam
Gobichettipalayam,Tamil Nadu
Gobindgarh,Punjab
Godhra,Gujarat
Gohana,Haryana
Gokak,Karnataka
Gooty,Andhra Pradesh
Gopalganj,Bihar
Gudivada,Andhra Pradesh
Gudur,Andhra Pradesh
Gumia,Jharkhand
Guntakal,Andhra Pradesh
Guntur,Andhra Pradesh
Gurdaspur,Punjab
Gurgaon,Haryana
Guruvayoor,Kerala
Guwahati,Assam
Gwalior,Madhya Pradesh
Habra,West Bengal
Hajipur,Bihar
Haldwani,Uttarakhand
Hansi,Haryana
Hapur,Uttar Pradesh
Hardwar,Uttarakhand
Hazaribag,Jharkhand
Hindupur,Andhra Pradesh
Hisar,Haryana
Hoshiarpur,Punjab
Hubli-Dharwad,Karnataka
Hugli-Chinsurah,West Bengal
Hyderabad,Telangana
Ichalkaranji,Maharashtra
Imphal,Manipur
Indore,Madhya Pradesh
Itarsi,Madhya Pradesh
Jabalpur,Madhya Pradesh
Jagdalpur,Chhattisgarh
Jaggaiahpet,Andhra Pradesh
Jagraon,Punjab
Jagtial,Telangana
Jaipur,Rajasthan
Jalandhar Cantt.,Punjab
Jalandhar,Punjab
Jalpaiguri,West Bengal
Jamalpur,Bihar
Jammalamadugu,Andhra Pradesh
Jammu,Jammu and Kashmir
Jamnagar,Gujarat
Jamshedpur,Jharkhand
Jamui,Bihar
Jangaon,Telangana
Jatani,Odisha
Jehanabad,Bihar
Jhansi,Uttar Pradesh
Jhargram,West Bengal
Jharsuguda,Odisha
Jhumri Tilaiya,Jharkhand
Jind,Haryana
Jorhat,Assam
Jodhpur,Rajasthan
Kadapa,Andhra Pradesh
Kadi,Gujarat
Kadiri,Andhra Pradesh
Kagaznagar,Telangana
Kailasahar,Tripura
